"date_id","이전블록이름","블록이름","호출수"
"2021-06-01","","학식","178"
"2021-06-01","도움말","학식","57"
"2021-06-01","","도움말","48"
"2021-06-01","학식","학식","12"
"2021-06-01","","폴백 블록","10"
"2021-06-01","폴백 블록","학식","10"
"2021-06-01","","학식","8"
"2021-06-01","학식","도움말","6"
"2021-06-01","","도움말","5"
"2021-06-01","","웰컴 블록","4"
"2021-06-01","","셔틀","4"
"2021-06-01","웰컴 블록","학식","3"
"2021-06-02","","학식","175"
"2021-06-02","도움말","학식","65"
"2021-06-02","","도움말","49"
"2021-06-02","","학식","16"
"2021-06-02","","도움말","13"
"2021-06-02","학식","도움말","7"
"2021-06-02","","폴백 블록","4"
"2021-06-02","폴백 블록","학식","4"
"2021-06-02","학식","학식","3"
"2021-06-02","","셔틀","3"
"2021-06-02","도움말","날씨","2"
"2021-06-03","","학식","170"
"2021-06-03","도움말","학식","64"
"2021-06-03","","도움말","44"
"2021-06-03","","도움말","14"
"2021-06-03","학식","도움말","11"
"2021-06-03","학식","학식","10"
"2021-06-03","","학식","10"
"2021-06-03","","웰컴 블록","7"
"2021-06-03","웰컴 블록","학식","6"
"2021-06-03","폴백 블록","학식","6"
"2021-06-03","","폴백 블록","4"
"2021-06-03","","날씨","4"
"2021-06-03","","셔틀","3"
"2021-06-03","날씨","학식","3"
"2021-06-03","학식","셔틀","2"
"2021-06-03","막차","추천","2"
"2021-06-03","학식","날씨","2"
"2021-06-03","식당 확인","식당 확인","2"
"2021-06-04","","학식","157"
"2021-06-04","도움말","학식","60"
"2021-06-04","","도움말","43"
"2021-06-04","","도움말","13"
"2021-06-04","학식","도움말","12"
"2021-06-04","폴백 블록","학식","9"
"2021-06-04","","학식","9"
"2021-06-04","학식","학식","8"
"2021-06-04","","폴백 블록","7"
"2021-06-04","폴백 블록","폴백 블록","6"
"2021-06-04","","웰컴 블록","4"
"2021-06-04","학식","폴백 블록","4"
"2021-06-04","웰컴 블록","학식","4"
"2021-06-04","셔틀","추천","3"
"2021-06-04","추천","학식","2"
"2021-06-04","도움말","번호","2"
"2021-06-04","학식","셔틀","2"
"2021-06-04","도움말","셔틀","2"
"2021-06-05","","학식","35"
"2021-06-05","도움말","학식","13"
"2021-06-05","","학식","12"
"2021-06-05","","도움말","11"
"2021-06-05","학식","학식","8"
"2021-06-05","폴백 블록","학식","4"
"2021-06-05","","폴백 블록","3"
"2021-06-05","학식","도움말","3"
"2021-06-05","","도움말","3"
"2021-06-05","번호","폴백 블록","2"
"2021-06-05","학식","폴백 블록","2"
"2021-06-05","도움말","날씨","2"
"2021-06-05","","셔틀","2"
"2021-06-05","도움말","셔틀","2"
"2021-06-05","폴백 블록","폴백 블록","2"
"2021-06-05","날씨","날씨","2"
"2021-06-06","","학식","13"
"2021-06-06","도움말","학식","8"
"2021-06-06","","도움말","7"
"2021-06-06","학식","도움말","3"
"2021-06-06","","셔틀","2"
"2021-06-07","","학식","180"
"2021-06-07","도움말","학식","69"
"2021-06-07","","도움말","55"
"2021-06-07","","도움말","12"
"2021-06-07","","학식","11"
"2021-06-07","학식","도움말","7"
"2021-06-07","","폴백 블록","4"
"2021-06-07","폴백 블록","학식","3"
"2021-06-07","","셔틀","3"
"2021-06-07","학식","날씨","3"
"2021-06-07","도움말","코로나 확진자 수","2"
"2021-06-07","학식","추천","2"
"2021-06-07","식당 확인","식당 확인","2"
"2021-06-07","도움말","추천","2"
"2021-06-07","","웰컴 블록","2"
"2021-06-08","","학식","180"
"2021-06-08","도움말","학식","65"
"2021-06-08","","도움말","53"
"2021-06-08","","학식","18"
"2021-06-08","","웰컴 블록","13"
"2021-06-08","학식","도움말","11"
"2021-06-08","웰컴 블록","학식","9"
"2021-06-08","학식","학식","8"
"2021-06-08","","폴백 블록","7"
"2021-06-08","폴백 블록","학식","6"
"2021-06-08","","도움말","4"
"2021-06-08","교내공지","추천","2"
"2021-06-08","추천","도움말","2"
"2021-06-08","","날씨","2"
"2021-06-08","","셔틀","2"
"2021-06-08","도움말","코로나 확진자 수","2"
"2021-06-09","","학식","180"
"2021-06-09","도움말","학식","57"
